College Name	College ID	Accomodation for UG	Gender	Permanent	Type of mess	Mess Bill in Rs\Year	Room Rent Rs\Year	Electricy Charges	Caution Deposit	Establishment Charges Rs\Yr	Admission Fee	Transport Facility	Transport optional or compulsory	Min Transport charges	Max transport charges	Minority status
Dhanalakshmi Srinivasan College of Engg & Tech	1322	Engineering	Male 	Yes	Veg/Non veg	-	55000	-	-	-	-	Yes	Compulsory	6000	30000	Yes
Dhanalakshmi Srinivasan College of Engg & Tech	1322	Engineering	Female	Yes	Veg/Non veg	-	55000	-	-	-	-	Yes	Compulsory	6000	30000	Yes
A.C.T College of Engineering and Tech	1323	Engineering	Male 	Yes	Veg/Non veg	27000	14400	3600	5000	5000	500	Yes	Optional	8000	25000	No
A.C.T College of Engineering and Tech	1323	Engineering	Female	Yes	Veg/Non veg	27000	14400	3600	5000	5000	500	Yes	Optional	8000	25000	No
Sri Sair Ram Institute of Tech	1324	Institute	Male 	Yes	Veg/Non veg	39600	14400	7200	-	5000	1000	Yes	Compulsory	10000	25000	No
Sri Sair Ram Institute of Tech	1324	Engineering	Female	Yes	Veg/Non veg	39600	14400	7200	-	5000	1000	Yes	Compulsory	10000	25000	No
St. Joseph college of Engineering	1325	Engineering	Male 	Yes	Veg/Non veg	36000	12000	-	-	-	-	Yes	Optional	15000	25000	$
St. Joseph college of Engineering	1325	Engineering	Female	Yes	Veg/Non veg	36000	12000	-	-	-	-	Yes	Optional	15000	25000	$
The New Royal College of Engg and Tech	1326	Engineering	Male 	Yes	Veg/Non veg	30000	18000	2400	5000	-	1000	Yes	Optional	12000	18000	No
The New Royal College of Engg and Tech	1326	Engineering	Female	Yes	Veg/Non veg	30000	18000	2400	5000	-	1000	Yes	Optional	12000	18000	No
